::1 - - [13/Dec/2016:06:16:28 +0000] "GET /stylesheets/bootstrap-responsive.css HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:28 +0000] "GET /javascripts/jquery-2.1.4.min.js HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:28 +0000] "GET /javascripts/bootstrap.js HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:31 +0000] "GET /reg HTTP/1.1" 200 2054 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:31 +0000] "GET /stylesheets/bootstrap.css HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:31 +0000] "GET /stylesheets/bootstrap-responsive.css HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:31 +0000] "GET /javascripts/jquery-2.1.4.min.js HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:31 +0000] "GET /javascripts/bootstrap.js HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "POST /reg HTTP/1.1" 302 52 "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "GET /reg HTTP/1.1" 200 2123 "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "GET /stylesheets/bootstrap.css HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "GET /stylesheets/bootstrap-responsive.css HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "GET /javascripts/jquery-2.1.4.min.js HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:37 +0000] "GET /javascripts/bootstrap.js HTTP/1.1" 304 - "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:42 +0000] "POST /reg HTTP/1.1" 302 52 "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
::1 - - [13/Dec/2016:06:16:42 +0000] "GET /reg HTTP/1.1" 200 2123 "http://localhost:3000/reg" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:50.0) Gecko/20100101 Firefox/50.0"
